                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1909,                 1.4198,                 1.2643,                0.76675,                0.90238,                0.89377,                0.70967,                0.77718,                 1.1175,                 1.0677,                 0.0883,                 0.0013,                 0.0013
                      1,                 1.0041,                0.82453,                  1.216,                      1,                0.95356,                0.98499,                0.79915,                 0.7379,                0.64837,                 1.0336,               0.075593,              0.0025931,              0.0025931
                      2,                 1.0043,                0.71626,                 1.1733,                0.98036,                 0.9787,                0.98629,                0.81538,                0.76351,                0.51664,                 1.0667,               0.062775,              0.0037753,              0.0037753
                      3,                 1.0126,                0.65826,                 1.1591,                0.99862,                0.98039,                0.98608,                 0.8198,                0.72733,                0.45515,                 1.0283,               0.049847,              0.0048466,              0.0048466
                      4,                0.87254,                0.60871,                 1.0994,                      1,                0.97918,                0.98572,                0.81643,                 0.7578,                 0.5014,                 1.0722,               0.036807,               0.005807,               0.005807
                      5,                0.94724,                 0.5961,                 1.1223,                0.97765,                0.98039,                 0.9852,                0.80792,                0.77164,                0.43364,                 1.0812,               0.023657,              0.0066566,              0.0066566
                      6,                0.93199,                0.59349,                 1.1128,                0.99924,                0.98039,                0.98584,                0.80621,                 0.7691,                0.53046,                 1.0544,               0.010395,              0.0073953,              0.0073953
                      7,                0.90767,                0.64692,                 1.1032,                0.99522,                0.98039,                0.98616,                0.81252,                0.76926,                0.95322,                 1.0601,               0.007228,               0.007228,               0.007228
                      8,                0.87528,                0.58992,                 1.0969,                0.99812,                0.96078,                 0.9855,                0.80165,                0.81637,                0.52207,                 1.0405,               0.007228,               0.007228,               0.007228
                      9,                0.95465,                0.54471,                 1.1059,                0.99852,                0.98039,                0.98593,                0.77948,                0.78731,                0.51741,                 1.0098,               0.006832,               0.006832,               0.006832
                     10,                0.89097,                0.53583,                 1.0715,                0.99856,                0.96078,                0.97586,                0.80478,                0.77098,                0.50278,                 1.0057,               0.006436,               0.006436,               0.006436
                     11,                0.86068,                0.48664,                 1.0561,                0.98039,                0.98022,                0.98605,                0.81347,                0.73724,                0.43345,                0.95911,                0.00604,                0.00604,                0.00604
                     12,                0.88246,                0.50436,                 1.0637,                      1,                0.97908,                0.99273,                0.80395,                0.76292,                0.46804,                0.99169,               0.005644,               0.005644,               0.005644
                     13,                0.83908,                 0.4964,                 1.0419,                0.99774,                0.98039,                0.98645,                0.79004,                0.77696,                0.45402,                 1.0149,               0.005248,               0.005248,               0.005248
                     14,                0.84999,                 0.4879,                 1.0779,                0.99869,                0.98039,                0.98577,                0.77228,                0.79948,                0.45493,                0.99856,               0.004852,               0.004852,               0.004852
                     15,                0.76146,                0.48645,                 1.0034,                0.99813,                0.98039,                0.98748,                0.78778,                0.79545,                0.45656,                 1.0244,               0.004456,               0.004456,               0.004456
                     16,                0.68847,                0.39957,                0.96827,                0.99811,                0.98039,                0.98612,                0.80424,                0.72153,                0.42572,                0.96671,                0.00406,                0.00406,                0.00406
                     17,                0.71169,                0.39046,                0.96196,                0.99866,                0.98039,                0.98536,                0.80248,                0.74974,                0.38242,                0.95518,               0.003664,               0.003664,               0.003664
                     18,                0.71295,                0.42389,                0.95216,                0.99891,                0.98039,                0.98549,                0.83472,                 0.7177,                0.37564,                0.94249,               0.003268,               0.003268,               0.003268
                     19,                 0.7286,                0.39384,                0.96503,                0.99802,                0.98039,                 0.9857,                0.81672,                0.76031,                0.40964,                0.95899,               0.002872,               0.002872,               0.002872
                     20,                0.70869,                0.39271,                0.95666,                0.99849,                0.98039,                0.98584,                0.77312,                0.81395,                0.40669,                0.98669,               0.002476,               0.002476,               0.002476
                     21,                0.69349,                 0.3788,                0.95499,                0.99858,                0.98039,                0.98617,                0.79341,                0.81559,                0.41153,                0.98294,                0.00208,                0.00208,                0.00208
                     22,                0.65197,                0.35995,                0.95219,                0.99828,                0.98039,                0.99037,                0.79981,                0.79139,                 0.4172,                0.98491,               0.001684,               0.001684,               0.001684
                     23,                0.69146,                0.37729,                0.93075,                0.99754,                0.98039,                0.98671,                 0.8105,                0.78899,                0.38308,                 0.9857,               0.001288,               0.001288,               0.001288
                     24,                0.63109,                0.34172,                0.93575,                 0.9978,                0.98039,                0.98709,                0.80994,                0.79821,                 0.3771,                0.98895,               0.000892,               0.000892,               0.000892
